@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water60}


@data
% filename water60.wav
% srate 86.1328
-58.019504,3.395916,0.394258,1.020405,0.020503,0.212349,-0.094598,0.110884,-0.089326,0.112405,0.117203,0.017642,0.063993,0.649896,0.581687,0.369701,0.449420,0.477144,0.547140,0.384166,0.590935,0.501930,0.580275,0.399038,0.486637,0.481618,
-57.953028,3.446069,0.398285,1.006868,-0.021070,0.256574,-0.080970,0.051088,-0.131308,0.074060,0.121352,-0.006890,0.032014,0.572001,0.546376,0.374884,0.443834,0.462062,0.576858,0.393729,0.543122,0.552058,0.636659,0.394988,0.487051,0.486246,
-57.825344,3.448997,0.396041,0.998146,-0.088741,0.188643,-0.085137,0.073754,-0.117248,0.130240,0.159293,0.035670,0.034974,0.680444,0.547815,0.373806,0.443253,0.477348,0.605383,0.394114,0.522265,0.538978,0.623212,0.386365,0.532301,0.485514,
-57.758148,3.444734,0.428773,1.039973,-0.095014,0.209286,-0.102854,0.062991,-0.133141,0.152011,0.181691,0.064744,0.079051,0.705833,0.542655,0.405372,0.390420,0.486831,0.597285,0.398598,0.535225,0.533220,0.628504,0.356148,0.523369,0.472624,
-57.671631,3.360473,0.348950,1.053700,-0.129808,0.228477,-0.088448,0.042254,-0.127392,0.161548,0.165725,-0.000879,0.027198,0.768609,0.556248,0.481049,0.391264,0.519152,0.590663,0.394065,0.550770,0.527963,0.627748,0.357952,0.505133,0.482403,
-57.651155,3.293597,0.316320,1.034627,-0.144061,0.223034,-0.104750,0.057124,-0.136250,0.122510,0.193478,0.034118,0.030160,0.750265,0.612870,0.520617,0.386524,0.492937,0.587463,0.401640,0.546086,0.531076,0.638334,0.368236,0.498874,0.482921,
-57.596549,3.321789,0.332379,0.982236,-0.166298,0.141353,-0.121680,0.014369,-0.128415,0.139198,0.214026,0.037328,0.001992,0.751382,0.623560,0.511169,0.393574,0.491261,0.509119,0.399181,0.511962,0.539052,0.615755,0.360312,0.497564,0.482305,
-57.495959,3.346429,0.350601,0.961000,-0.124924,0.144496,-0.093657,-0.068396,-0.167281,0.044648,0.150861,0.013456,0.007324,0.720578,0.637580,0.504666,0.404863,0.525011,0.509668,0.389701,0.423963,0.517016,0.591079,0.332127,0.477260,0.478727,
-57.480411,3.405162,0.395252,0.984676,-0.161043,0.199231,-0.092822,-0.137834,-0.156749,0.081919,0.206498,0.046757,0.050001,0.720102,0.632636,0.543451,0.371807,0.548378,0.475443,0.388571,0.527342,0.508238,0.587273,0.435427,0.484222,0.466693,
-57.386569,3.441114,0.408253,0.955240,-0.141139,0.282530,-0.060219,-0.151306,-0.174050,0.068159,0.219590,0.031853,-0.028246,0.824125,0.658688,0.548187,0.396476,0.557263,0.576311,0.439117,0.513184,0.502204,0.582523,0.441446,0.501066,0.449728,
-57.343280,3.467192,0.394826,1.030135,-0.086715,0.307589,-0.090176,-0.187523,-0.199067,0.080889,0.207714,0.012705,-0.003599,0.829081,0.654820,0.547472,0.430916,0.583991,0.577052,0.437204,0.471734,0.472597,0.578409,0.439246,0.507247,0.445349,
-57.265929,3.472139,0.364234,1.050885,-0.068716,0.298002,-0.103669,-0.193238,-0.223940,0.061137,0.233271,0.018659,-0.004929,0.805118,0.655524,0.534581,0.459947,0.587351,0.573585,0.459476,0.474585,0.474053,0.567929,0.422317,0.508136,0.444542,
-57.254656,3.440263,0.275739,1.000787,-0.012634,0.339939,-0.113652,-0.213773,-0.211287,0.038901,0.220633,-0.023183,-0.082041,0.821611,0.631312,0.583618,0.449980,0.581785,0.562587,0.460046,0.473889,0.471817,0.575762,0.429574,0.527391,0.485879,
-57.150037,3.490376,0.364175,1.015191,-0.072715,0.332347,-0.098590,-0.218361,-0.228422,0.015643,0.254957,0.017032,-0.088635,0.765803,0.649577,0.599085,0.448719,0.560496,0.564835,0.449867,0.472584,0.478222,0.596375,0.394053,0.476692,0.481832,
-56.998844,3.568508,0.375942,0.975358,-0.079699,0.333965,-0.092627,-0.205090,-0.278927,-0.049715,0.225552,0.028664,-0.064081,0.826461,0.669755,0.594606,0.475851,0.559200,0.563850,0.447971,0.467185,0.404594,0.462053,0.370095,0.465658,0.480264,
-56.719330,3.474510,0.279845,0.980793,0.058673,0.390489,-0.166543,-0.220196,-0.253354,-0.053086,0.188689,-0.040179,-0.140559,1.240523,0.784442,0.649375,0.473356,0.668792,0.573397,0.519150,0.462306,0.465017,0.458050,0.390356,0.402538,0.442978,
-56.603435,3.493726,0.252263,0.964077,0.095821,0.391647,-0.134716,-0.221108,-0.294458,-0.062592,0.177399,-0.057883,-0.148897,1.254030,0.781011,0.659301,0.471965,0.681020,0.571778,0.527887,0.461052,0.461115,0.461735,0.400483,0.407188,0.431654,
